 0.00000000e+00  9.00000000e-01  0.00000000e+00  8.87257521e-01  0.00000000e+00  8.87129552e-01 
 1.00000000e-10  9.00000000e-01  1.00000000e-10  8.87257521e-01  1.00000000e-10  8.87129553e-01 
 2.00000000e-10  9.00000001e-01  2.00000000e-10  8.87257521e-01  2.00000000e-10  8.87129553e-01 
 4.00000000e-10  9.00000001e-01  4.00000000e-10  8.87257521e-01  4.00000000e-10  8.87129555e-01 
 8.00000000e-10  9.00000003e-01  8.00000000e-10  8.87257521e-01  8.00000000e-10  8.87129556e-01 
 1.60000000e-09  9.00000005e-01  1.60000000e-09  8.87257521e-01  1.60000000e-09  8.87129558e-01 
 3.20000000e-09  9.00000010e-01  3.20000000e-09  8.87257520e-01  3.20000000e-09  8.87129557e-01 
 3.65902778e-09  9.00000011e-01  3.65902778e-09  8.87257520e-01  3.65902778e-09  8.87129556e-01 
 4.46232639e-09  9.00000014e-01  4.46232639e-09  8.87257520e-01  4.46232639e-09  8.87129555e-01 
 5.35169271e-09  9.00000017e-01  5.35169271e-09  8.87257523e-01  5.35169271e-09  8.87129547e-01 
 7.13042535e-09  9.00000022e-01  7.13042535e-09  8.87257521e-01  7.13042535e-09  8.87129555e-01 
 1.00000000e-08  9.00000031e-01  1.00000000e-08  8.87257522e-01  1.00000000e-08  8.87129555e-01 
 1.03557465e-08  9.00000033e-01  1.03557465e-08  8.87257522e-01  1.03557465e-08  8.87129555e-01 
 1.10672396e-08  9.00000035e-01  1.10672396e-08  8.87257521e-01  1.10672396e-08  8.87129554e-01 
 1.24902257e-08  9.00000039e-01  1.24902257e-08  8.87257521e-01  1.24902257e-08  8.87129554e-01 
 1.53361979e-08  9.00000048e-01  1.53361979e-08  8.87257522e-01  1.53361979e-08  8.87129553e-01 
 2.10281424e-08  9.00000066e-01  2.10281424e-08  8.87257525e-01  2.10281424e-08  8.87129553e-01 
 3.24120312e-08  9.00000102e-01  3.24120312e-08  8.87257539e-01  3.24120312e-08  8.87129553e-01 
 5.51798090e-08  9.00000173e-01  5.51798090e-08  8.87257611e-01  5.51798090e-08  8.87129574e-01 
 1.00715365e-07  9.00000316e-01  1.00715365e-07  8.87257932e-01  1.00715365e-07  8.87129757e-01 
 1.91786476e-07  9.00000603e-01  1.91786476e-07  8.87259274e-01  1.91786476e-07  8.87130820e-01 
 3.73928698e-07  9.00001175e-01  3.73928698e-07  8.87264641e-01  3.73928698e-07  8.87135662e-01 
 7.38213142e-07  9.00002319e-01  7.38213142e-07  8.87285239e-01  7.38213142e-07  8.87155306e-01 
 1.23821314e-06  9.00003890e-01  1.23821314e-06  8.87332407e-01  1.23821314e-06  8.87201361e-01 
 1.73821314e-06  9.00005461e-01  1.73821314e-06  8.87398177e-01  1.73821314e-06  8.87266206e-01 
