 1.00000000e+00  5.35119262e+01  1.00000000e+00  1.79993940e+02 
 1.07977516e+00  5.35119262e+01  1.07977516e+00  1.79993445e+02 
 1.16591440e+00  5.35119262e+01  1.16591440e+00  1.79992910e+02 
 1.25892541e+00  5.35119262e+01  1.25892541e+00  1.79992332e+02 
 1.35935639e+00  5.35119262e+01  1.35935639e+00  1.79991708e+02 
 1.46779927e+00  5.35119261e+01  1.46779927e+00  1.79991035e+02 
 1.58489319e+00  5.35119261e+01  1.58489319e+00  1.79990307e+02 
 1.71132830e+00  5.35119261e+01  1.71132830e+00  1.79989522e+02 
 1.84784980e+00  5.35119261e+01  1.84784980e+00  1.79988674e+02 
 1.99526231e+00  5.35119260e+01  1.99526231e+00  1.79987758e+02 
 2.15443469e+00  5.35119260e+01  2.15443469e+00  1.79986769e+02 
 2.32630507e+00  5.35119260e+01  2.32630507e+00  1.79985702e+02 
 2.51188643e+00  5.35119259e+01  2.51188643e+00  1.79984549e+02 
 2.71227258e+00  5.35119259e+01  2.71227258e+00  1.79983304e+02 
 2.92864456e+00  5.35119258e+01  2.92864456e+00  1.79981960e+02 
 3.16227766e+00  5.35119257e+01  3.16227766e+00  1.79980509e+02 
 3.41454887e+00  5.35119257e+01  3.41454887e+00  1.79978942e+02 
 3.68694506e+00  5.35119256e+01  3.68694506e+00  1.79977250e+02 
 3.98107171e+00  5.35119254e+01  3.98107171e+00  1.79975423e+02 
 4.29866235e+00  5.35119253e+01  4.29866235e+00  1.79973450e+02 
 4.64158883e+00  5.35119251e+01  4.64158883e+00  1.79971320e+02 
 5.01187234e+00  5.35119250e+01  5.01187234e+00  1.79969020e+02 
 5.41169527e+00  5.35119248e+01  5.41169527e+00  1.79966537e+02 
 5.84341413e+00  5.35119245e+01  5.84341413e+00  1.79963855e+02 
 6.30957344e+00  5.35119242e+01  6.30957344e+00  1.79960959e+02 
 6.81292069e+00  5.35119239e+01  6.81292069e+00  1.79957833e+02 
 7.35642254e+00  5.35119235e+01  7.35642254e+00  1.79954457e+02 
 7.94328235e+00  5.35119230e+01  7.94328235e+00  1.79950811e+02 
 8.57695899e+00  5.35119225e+01  8.57695899e+00  1.79946875e+02 
 9.26118728e+00  5.35119219e+01  9.26118728e+00  1.79942625e+02 
 1.00000000e+01  5.35119212e+01  1.00000000e+01  1.79938036e+02 
 1.07977516e+01  5.35119203e+01  1.07977516e+01  1.79933080e+02 
 1.16591440e+01  5.35119193e+01  1.16591440e+01  1.79927730e+02 
 1.25892541e+01  5.35119182e+01  1.25892541e+01  1.79921952e+02 
 1.35935639e+01  5.35119168e+01  1.35935639e+01  1.79915714e+02 
 1.46779927e+01  5.35119153e+01  1.46779927e+01  1.79908978e+02 
 1.58489319e+01  5.35119134e+01  1.58489319e+01  1.79901705e+02 
 1.71132830e+01  5.35119113e+01  1.71132830e+01  1.79893851e+02 
 1.84784980e+01  5.35119088e+01  1.84784980e+01  1.79885371e+02 
 1.99526231e+01  5.35119060e+01  1.99526231e+01  1.79876214e+02 
