 1.00000000e+00  5.30157538e+01 
 1.07977516e+00  5.30157538e+01 
 1.16591440e+00  5.30157538e+01 
 1.25892541e+00  5.30157538e+01 
 1.35935639e+00  5.30157538e+01 
 1.46779927e+00  5.30157537e+01 
 1.58489319e+00  5.30157537e+01 
 1.71132830e+00  5.30157537e+01 
 1.84784980e+00  5.30157537e+01 
 1.99526231e+00  5.30157537e+01 
 2.15443469e+00  5.30157536e+01 
 2.32630507e+00  5.30157536e+01 
 2.51188643e+00  5.30157535e+01 
 2.71227258e+00  5.30157535e+01 
 2.92864456e+00  5.30157534e+01 
 3.16227766e+00  5.30157534e+01 
 3.41454887e+00  5.30157533e+01 
 3.68694506e+00  5.30157532e+01 
 3.98107171e+00  5.30157531e+01 
 4.29866235e+00  5.30157530e+01 
 4.64158883e+00  5.30157528e+01 
 5.01187234e+00  5.30157527e+01 
 5.41169527e+00  5.30157525e+01 
 5.84341413e+00  5.30157522e+01 
 6.30957344e+00  5.30157520e+01 
 6.81292069e+00  5.30157517e+01 
 7.35642254e+00  5.30157513e+01 
 7.94328235e+00  5.30157509e+01 
 8.57695899e+00  5.30157504e+01 
 9.26118728e+00  5.30157498e+01 
 1.00000000e+01  5.30157491e+01 
 1.07977516e+01  5.30157484e+01 
 1.16591440e+01  5.30157474e+01 
 1.25892541e+01  5.30157464e+01 
 1.35935639e+01  5.30157451e+01 
 1.46779927e+01  5.30157437e+01 
 1.58489319e+01  5.30157420e+01 
 1.71132830e+01  5.30157401e+01 
 1.84784980e+01  5.30157378e+01 
 1.99526231e+01  5.30157351e+01 
 2.15443469e+01  5.30157320e+01 
 2.32630507e+01  5.30157284e+01 
 2.51188643e+01  5.30157241e+01 
 2.71227258e+01  5.30157192e+01 
 2.92864456e+01  5.30157135e+01 
 3.16227766e+01  5.30157068e+01 
 3.41454887e+01  5.30156990e+01 
 3.68694506e+01  5.30156899e+01 
 3.98107171e+01  5.30156793e+01 
 4.29866235e+01  5.30156669e+01 
 4.64158883e+01  5.30156525e+01 
 5.01187234e+01  5.30156356e+01 
 5.41169527e+01  5.30156160e+01 
 5.84341413e+01  5.30155931e+01 
 6.30957344e+01  5.30155665e+01 
 6.81292069e+01  5.30155354e+01 
 7.35642254e+01  5.30154992e+01 
 7.94328235e+01  5.30154569e+01 
 8.57695899e+01  5.30154076e+01 
 9.26118728e+01  5.30153502e+01 
 1.00000000e+02  5.30152832e+01 
 1.07977516e+02  5.30152052e+01 
 1.16591440e+02  5.30151141e+01 
 1.25892541e+02  5.30150080e+01 
 1.35935639e+02  5.30148843e+01 
 1.46779927e+02  5.30147400e+01 
 1.58489319e+02  5.30145718e+01 
 1.71132830e+02  5.30143758e+01 
 1.84784980e+02  5.30141472e+01 
 1.99526231e+02  5.30138806e+01 
 2.15443469e+02  5.30135699e+01 
 2.32630507e+02  5.30132077e+01 
 2.51188643e+02  5.30127854e+01 
 2.71227258e+02  5.30122931e+01 
 2.92864456e+02  5.30117192e+01 
 3.16227766e+02  5.30110501e+01 
 3.41454887e+02  5.30102702e+01 
 3.68694506e+02  5.30093610e+01 
 3.98107171e+02  5.30083013e+01 
 4.29866235e+02  5.30070660e+01 
 4.64158883e+02  5.30056263e+01 
 5.01187234e+02  5.30039483e+01 
 5.41169527e+02  5.30019927e+01 
 5.84341413e+02  5.29997137e+01 
 6.30957344e+02  5.29970581e+01 
 6.81292069e+02  5.29939640e+01 
 7.35642254e+02  5.29903593e+01 
 7.94328235e+02  5.29861603e+01 
 8.57695899e+02  5.29812697e+01 
 9.26118728e+02  5.29755747e+01 
 1.00000000e+03  5.29689442e+01 
 1.07977516e+03  5.29612264e+01 
 1.16591440e+03  5.29522454e+01 
 1.25892541e+03  5.29417977e+01 
 1.35935639e+03  5.29296482e+01 
 1.46779927e+03  5.29155257e+01 
 1.58489319e+03  5.28991178e+01 
 1.71132830e+03  5.28800656e+01 
 1.84784980e+03  5.28579574e+01 
 1.99526231e+03  5.28323224e+01 
 2.15443469e+03  5.28026240e+01 
 2.32630507e+03  5.27682528e+01 
 2.51188643e+03  5.27285193e+01 
 2.71227258e+03  5.26826478e+01 
 2.92864456e+03  5.26297703e+01 
 3.16227766e+03  5.25689217e+01 
 3.41454887e+03  5.24990374e+01 
 3.68694506e+03  5.24189533e+01 
 3.98107171e+03  5.23274093e+01 
 4.29866235e+03  5.22230577e+01 
 4.64158883e+03  5.21044764e+01 
 5.01187234e+03  5.19701889e+01 
 5.41169527e+03  5.18186904e+01 
 5.84341413e+03  5.16484809e+01 
 6.30957344e+03  5.14581041e+01 
 6.81292069e+03  5.12461909e+01 
 7.35642254e+03  5.10115060e+01 
 7.94328235e+03  5.07529941e+01 
 8.57695899e+03  5.04698221e+01 
 9.26118728e+03  5.01614155e+01 
 1.00000000e+04  4.98274837e+01 
 1.07977516e+04  4.94680338e+01 
 1.16591440e+04  4.90833700e+01 
 1.25892541e+04  4.86740796e+01 
 1.35935639e+04  4.82410067e+01 
 1.46779927e+04  4.77852164e+01 
 1.58489319e+04  4.73079511e+01 
 1.71132830e+04  4.68105850e+01 
 1.84784980e+04  4.62945774e+01 
 1.99526231e+04  4.57614293e+01 
 2.15443469e+04  4.52126449e+01 
 2.32630507e+04  4.46496987e+01 
 2.51188643e+04  4.40740096e+01 
 2.71227258e+04  4.34869216e+01 
 2.92864456e+04  4.28896902e+01 
 3.16227766e+04  4.22834751e+01 
 3.41454887e+04  4.16693360e+01 
 3.68694506e+04  4.10482335e+01 
 3.98107171e+04  4.04210310e+01 
 4.29866235e+04  3.97885002e+01 
 4.64158883e+04  3.91513264e+01 
 5.01187234e+04  3.85101155e+01 
 5.41169527e+04  3.78654008e+01 
 5.84341413e+04  3.72176502e+01 
 6.30957344e+04  3.65672724e+01 
 6.81292069e+04  3.59146242e+01 
 7.35642254e+04  3.52600157e+01 
 7.94328235e+04  3.46037163e+01 
 8.57695899e+04  3.39459592e+01 
 9.26118728e+04  3.32869464e+01 
 1.00000000e+05  3.26268523e+01 
 1.07977516e+05  3.19658275e+01 
 1.16591440e+05  3.13040017e+01 
 1.25892541e+05  3.06414869e+01 
 1.35935639e+05  2.99783791e+01 
 1.46779927e+05  2.93147609e+01 
 1.58489319e+05  2.86507034e+01 
 1.71132830e+05  2.79862675e+01 
 1.84784980e+05  2.73215051e+01 
 1.99526231e+05  2.66564610e+01 
 2.15443469e+05  2.59911731e+01 
 2.32630507e+05  2.53256737e+01 
 2.51188643e+05  2.46599903e+01 
 2.71227258e+05  2.39941459e+01 
 2.92864456e+05  2.33281598e+01 
 3.16227766e+05  2.26620481e+01 
 3.41454887e+05  2.19958239e+01 
 3.68694506e+05  2.13294975e+01 
 3.98107171e+05  2.06630769e+01 
 4.29866235e+05  1.99965680e+01 
 4.64158883e+05  1.93299745e+01 
 5.01187234e+05  1.86632980e+01 
 5.41169527e+05  1.79965384e+01 
 5.84341413e+05  1.73296935e+01 
 6.30957344e+05  1.66627590e+01 
