 0.00000000e+00  9.00000000e-01  0.00000000e+00  8.99870346e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-10  9.00000126e-01  1.00000000e-10  8.99870347e-01  1.00000000e-10  1.80000000e-02  1.00000000e-10  1.80000000e-02 
 2.00000000e-10  9.00000251e-01  2.00000000e-10  8.99870349e-01  2.00000000e-10  3.60000000e-02  2.00000000e-10  3.60000000e-02 
 4.00000000e-10  9.00000503e-01  4.00000000e-10  8.99870351e-01  4.00000000e-10  7.20000000e-02  4.00000000e-10  7.20000000e-02 
 8.00000000e-10  9.00001005e-01  8.00000000e-10  8.99870357e-01  8.00000000e-10  1.44000000e-01  8.00000000e-10  1.44000000e-01 
 1.60000000e-09  9.00002011e-01  1.60000000e-09  8.99870365e-01  1.60000000e-09  2.88000000e-01  1.60000000e-09  2.88000000e-01 
 3.20000000e-09  9.00004021e-01  3.20000000e-09  8.99870370e-01  3.20000000e-09  5.76000000e-01  3.20000000e-09  5.76000000e-01 
 3.65902778e-09  9.00004598e-01  3.65902778e-09  8.99870370e-01  3.65902778e-09  6.58625000e-01  3.65902778e-09  6.58625000e-01 
 4.46232639e-09  9.00005608e-01  4.46232639e-09  8.99870371e-01  4.46232639e-09  8.03218750e-01  4.46232639e-09  8.03218750e-01 
 5.35169271e-09  9.00006725e-01  5.35169271e-09  8.99871092e-01  5.35169271e-09  9.63304688e-01  5.35169271e-09  9.63304688e-01 
 7.13042535e-09  9.00008960e-01  7.13042535e-09  8.99870664e-01  7.13042535e-09  1.28347656e+00  7.13042535e-09  1.28347656e+00 
 1.00000000e-08  9.00012566e-01  1.00000000e-08  8.99870140e-01  1.00000000e-08  1.80000000e+00  1.00000000e-08  1.80000000e+00 
 1.03557465e-08  9.00013013e-01  1.03557465e-08  8.99870180e-01  1.03557465e-08  1.80000000e+00  1.03557465e-08  1.80000000e+00 
 1.10672396e-08  9.00013908e-01  1.10672396e-08  8.99870235e-01  1.10672396e-08  1.80000000e+00  1.10672396e-08  1.80000000e+00 
 1.24902257e-08  9.00015696e-01  1.24902257e-08  8.99870401e-01  1.24902257e-08  1.80000000e+00  1.24902257e-08  1.80000000e+00 
 1.53361979e-08  9.00019272e-01  1.53361979e-08  8.99871031e-01  1.53361979e-08  1.80000000e+00  1.53361979e-08  1.80000000e+00 
 2.10281424e-08  9.00026425e-01  2.10281424e-08  8.99873446e-01  2.10281424e-08  1.80000000e+00  2.10281424e-08  1.80000000e+00 
 3.24120312e-08  9.00040730e-01  3.24120312e-08  8.99881894e-01  3.24120312e-08  1.80000000e+00  3.24120312e-08  1.80000000e+00 
 5.51798090e-08  9.00069341e-01  5.51798090e-08  8.99906446e-01  5.51798090e-08  1.80000000e+00  5.51798090e-08  1.80000000e+00 
 1.00715365e-07  9.00126563e-01  1.00715365e-07  8.99963323e-01  1.00715365e-07  1.80000000e+00  1.00715365e-07  1.80000000e+00 
 1.91786476e-07  9.00241006e-01  1.91786476e-07  9.00077954e-01  1.91786476e-07  1.80000000e+00  1.91786476e-07  1.80000000e+00 
 2.91786476e-07  9.00366669e-01  2.91786476e-07  9.00203470e-01  2.91786476e-07  1.80000000e+00  2.91786476e-07  1.80000000e+00 
 3.91786476e-07  9.00492333e-01  3.91786476e-07  9.00329215e-01  3.91786476e-07  1.80000000e+00  3.91786476e-07  1.80000000e+00 
 4.91786476e-07  9.00617996e-01  4.91786476e-07  9.00454803e-01  4.91786476e-07  1.80000000e+00  4.91786476e-07  1.80000000e+00 
 5.91786476e-07  9.00743659e-01  5.91786476e-07  9.00580496e-01  5.91786476e-07  1.80000000e+00  5.91786476e-07  1.80000000e+00 
 6.91786476e-07  9.00869322e-01  6.91786476e-07  9.00706119e-01  6.91786476e-07  1.80000000e+00  6.91786476e-07  1.80000000e+00 
 7.91786476e-07  9.00994984e-01  7.91786476e-07  9.00831787e-01  7.91786476e-07  1.80000000e+00  7.91786476e-07  1.80000000e+00 
 8.91786476e-07  9.01120646e-01  8.91786476e-07  9.00957426e-01  8.91786476e-07  1.80000000e+00  8.91786476e-07  1.80000000e+00 
 9.91786476e-07  9.01246308e-01  9.91786476e-07  9.01083083e-01  9.91786476e-07  1.80000000e+00  9.91786476e-07  1.80000000e+00 
 1.09178648e-06  9.01371969e-01  1.09178648e-06  9.01208728e-01  1.09178648e-06  1.80000000e+00  1.09178648e-06  1.80000000e+00 
 1.19178648e-06  9.01497629e-01  1.19178648e-06  9.01334378e-01  1.19178648e-06  1.80000000e+00  1.19178648e-06  1.80000000e+00 
 1.29178648e-06  9.01623289e-01  1.29178648e-06  9.01460026e-01  1.29178648e-06  1.80000000e+00  1.29178648e-06  1.80000000e+00 
 1.39178648e-06  9.01748948e-01  1.39178648e-06  9.01585673e-01  1.39178648e-06  1.80000000e+00  1.39178648e-06  1.80000000e+00 
 1.49178648e-06  9.01874607e-01  1.49178648e-06  9.01711320e-01  1.49178648e-06  1.80000000e+00  1.49178648e-06  1.80000000e+00 
 1.59178648e-06  9.02000265e-01  1.59178648e-06  9.01836965e-01  1.59178648e-06  1.80000000e+00  1.59178648e-06  1.80000000e+00 
 1.69178648e-06  9.02125922e-01  1.69178648e-06  9.01962611e-01  1.69178648e-06  1.80000000e+00  1.69178648e-06  1.80000000e+00 
 1.79178648e-06  9.02251578e-01  1.79178648e-06  9.02088254e-01  1.79178648e-06  1.80000000e+00  1.79178648e-06  1.80000000e+00 
 1.89178648e-06  9.02377233e-01  1.89178648e-06  9.02213899e-01  1.89178648e-06  1.80000000e+00  1.89178648e-06  1.80000000e+00 
 1.99178648e-06  9.02502887e-01  1.99178648e-06  9.02339540e-01  1.99178648e-06  1.80000000e+00  1.99178648e-06  1.80000000e+00 
 2.09178648e-06  9.02628541e-01  2.09178648e-06  9.02465182e-01  2.09178648e-06  1.80000000e+00  2.09178648e-06  1.80000000e+00 
 2.19178648e-06  9.02754193e-01  2.19178648e-06  9.02590822e-01  2.19178648e-06  1.80000000e+00  2.19178648e-06  1.80000000e+00 
 2.29178648e-06  9.02879844e-01  2.29178648e-06  9.02716462e-01  2.29178648e-06  1.80000000e+00  2.29178648e-06  1.80000000e+00 
 2.39178648e-06  9.03005494e-01  2.39178648e-06  9.02842099e-01  2.39178648e-06  1.80000000e+00  2.39178648e-06  1.80000000e+00 
 2.49178648e-06  9.03131143e-01  2.49178648e-06  9.02967737e-01  2.49178648e-06  1.80000000e+00  2.49178648e-06  1.80000000e+00 
 2.59178648e-06  9.03256791e-01  2.59178648e-06  9.03093372e-01  2.59178648e-06  1.80000000e+00  2.59178648e-06  1.80000000e+00 
 2.69178648e-06  9.03382437e-01  2.69178648e-06  9.03219007e-01  2.69178648e-06  1.80000000e+00  2.69178648e-06  1.80000000e+00 
 2.79178648e-06  9.03508082e-01  2.79178648e-06  9.03344639e-01  2.79178648e-06  1.80000000e+00  2.79178648e-06  1.80000000e+00 
 2.89178648e-06  9.03633726e-01  2.89178648e-06  9.03470272e-01  2.89178648e-06  1.80000000e+00  2.89178648e-06  1.80000000e+00 
 2.99178648e-06  9.03759368e-01  2.99178648e-06  9.03595901e-01  2.99178648e-06  1.80000000e+00  2.99178648e-06  1.80000000e+00 
 3.09178648e-06  9.03885009e-01  3.09178648e-06  9.03721531e-01  3.09178648e-06  1.80000000e+00  3.09178648e-06  1.80000000e+00 
 3.19178648e-06  9.04010648e-01  3.19178648e-06  9.03847157e-01  3.19178648e-06  1.80000000e+00  3.19178648e-06  1.80000000e+00 
 3.29178648e-06  9.04136286e-01  3.29178648e-06  9.03972784e-01  3.29178648e-06  1.80000000e+00  3.29178648e-06  1.80000000e+00 
 3.39178648e-06  9.04261922e-01  3.39178648e-06  9.04098406e-01  3.39178648e-06  1.80000000e+00  3.39178648e-06  1.80000000e+00 
 3.49178648e-06  9.04387556e-01  3.49178648e-06  9.04224030e-01  3.49178648e-06  1.80000000e+00  3.49178648e-06  1.80000000e+00 
 3.59178648e-06  9.04513189e-01  3.59178648e-06  9.04349649e-01  3.59178648e-06  1.80000000e+00  3.59178648e-06  1.80000000e+00 
 3.69178648e-06  9.04638820e-01  3.69178648e-06  9.04475269e-01  3.69178648e-06  1.80000000e+00  3.69178648e-06  1.80000000e+00 
 3.79178648e-06  9.04764449e-01  3.79178648e-06  9.04600885e-01  3.79178648e-06  1.80000000e+00  3.79178648e-06  1.80000000e+00 
 3.89178648e-06  9.04890076e-01  3.89178648e-06  9.04726501e-01  3.89178648e-06  1.80000000e+00  3.89178648e-06  1.80000000e+00 
 3.99178648e-06  9.05015701e-01  3.99178648e-06  9.04852113e-01  3.99178648e-06  1.80000000e+00  3.99178648e-06  1.80000000e+00 
 4.09178648e-06  9.05141324e-01  4.09178648e-06  9.04977725e-01  4.09178648e-06  1.80000000e+00  4.09178648e-06  1.80000000e+00 
 4.19178648e-06  9.05266945e-01  4.19178648e-06  9.05103333e-01  4.19178648e-06  1.80000000e+00  4.19178648e-06  1.80000000e+00 
 4.29178648e-06  9.05392564e-01  4.29178648e-06  9.05228941e-01  4.29178648e-06  1.80000000e+00  4.29178648e-06  1.80000000e+00 
 4.39178648e-06  9.05518181e-01  4.39178648e-06  9.05354545e-01  4.39178648e-06  1.80000000e+00  4.39178648e-06  1.80000000e+00 
 4.45089324e-06  9.05592428e-01  4.45089324e-06  9.05428786e-01  4.45089324e-06  1.80000000e+00  4.45089324e-06  1.80000000e+00 
 4.51000000e-06  9.05666675e-01  4.51000000e-06  9.05503024e-01  4.51000000e-06  1.80000000e+00  4.51000000e-06  1.80000000e+00 
 4.51100000e-06  9.05667931e-01  4.51100000e-06  9.05504281e-01  4.51100000e-06  1.80000000e+00  4.51100000e-06  1.62000000e+00 
 4.51300000e-06  9.05670443e-01  4.51300000e-06  9.05506793e-01  4.51300000e-06  1.80000000e+00  4.51300000e-06  1.26000000e+00 
 4.51349653e-06  9.05671067e-01  4.51349653e-06  9.05507416e-01  4.51349653e-06  1.80000000e+00  4.51349653e-06  1.17062500e+00 
 4.51436545e-06  9.05672158e-01  4.51436545e-06  9.05508508e-01  4.51436545e-06  1.80000000e+00  4.51436545e-06  1.01421875e+00 
 4.51532747e-06  9.05673367e-01  4.51532747e-06  9.05509826e-01  4.51532747e-06  1.80000000e+00  4.51532747e-06  8.41054687e-01 
 4.51725152e-06  9.05675784e-01  4.51725152e-06  9.05512097e-01  4.51725152e-06  1.80000000e+00  4.51725152e-06  4.94726562e-01 
 4.52000000e-06  9.05679236e-01  4.52000000e-06  9.05515545e-01  4.52000000e-06  1.80000000e+00  4.52000000e-06  0.00000000e+00 
 4.52038481e-06  9.05679719e-01  4.52038481e-06  9.05516039e-01  4.52038481e-06  1.80000000e+00  4.52038481e-06  0.00000000e+00 
 4.52115443e-06  9.05680686e-01  4.52115443e-06  9.05517016e-01  4.52115443e-06  1.80000000e+00  4.52115443e-06  0.00000000e+00 
 4.52269366e-06  9.05682620e-01  4.52269366e-06  9.05518971e-01  4.52269366e-06  1.80000000e+00  4.52269366e-06  0.00000000e+00 
 4.52577214e-06  9.05686487e-01  4.52577214e-06  9.05522896e-01  4.52577214e-06  1.80000000e+00  4.52577214e-06  0.00000000e+00 
 4.53192908e-06  9.05694220e-01  4.53192908e-06  9.05530761e-01  4.53192908e-06  1.80000000e+00  4.53192908e-06  0.00000000e+00 
 4.54424297e-06  9.05709688e-01  4.54424297e-06  9.05546452e-01  4.54424297e-06  1.80000000e+00  4.54424297e-06  0.00000000e+00 
 4.56887075e-06  9.05740624e-01  4.56887075e-06  9.05577581e-01  4.56887075e-06  1.80000000e+00  4.56887075e-06  0.00000000e+00 
 4.61812630e-06  9.05802494e-01  4.61812630e-06  9.05639467e-01  4.61812630e-06  1.80000000e+00  4.61812630e-06  0.00000000e+00 
 4.71663741e-06  9.05926234e-01  4.71663741e-06  9.05763181e-01  4.71663741e-06  1.80000000e+00  4.71663741e-06  0.00000000e+00 
