Metric,Value
route__wirelength__iter:0,4502102
route__drc_errors__iter:1,6492
route__wirelength__iter:1,4483802
route__drc_errors__iter:2,5755
route__wirelength__iter:2,4478004
route__drc_errors__iter:3,318
route__wirelength__iter:3,4475358
route__drc_errors__iter:4,29
route__wirelength__iter:4,4475253
route__drc_errors__iter:5,0
route__wirelength__iter:5,4475235
route__drc_errors,0
route__wirelength,4475235
route__vias,403557
route__vias__singlecut,403557
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,313
design__critical_disconnected_pin__count,0
route__wirelength__max,3718.55
design__instance__count__class:fill_cell,80416
design__instance__area__class:fill_cell,2.52642E+6
timing__unannotated_net__count__corner:nom_tt_025C_5v00,430
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,430
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,430
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,1123
design__max_fanout_violation__count__corner:min_tt_025C_5v00,160
design__max_cap_violation__count__corner:min_tt_025C_5v00,816
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.3769377971997732
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.3817814783485965
timing__hold__ws__corner:min_tt_025C_5v00,0.4364844165206076
timing__setup__ws__corner:min_tt_025C_5v00,115.27669456398155
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.436484
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,234.499664
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,430
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,14146
design__max_fanout_violation__count__corner:min_ss_125C_4v50,160
design__max_cap_violation__count__corner:min_ss_125C_4v50,844
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.4377122954649942
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.4447773109043111
timing__hold__ws__corner:min_ss_125C_4v50,0.9973147034943938
timing__setup__ws__corner:min_ss_125C_4v50,42.272689656351545
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,0.997315
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,221.249466
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,430
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,110
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,160
design__max_cap_violation__count__corner:min_ff_n40C_5v50,797
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.3499338418080915
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.3536947224103742
timing__hold__ws__corner:min_ff_n40C_5v50,0.18337243353899477
timing__setup__ws__corner:min_ff_n40C_5v50,147.6126711533741
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.183372
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,240.376129
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,430
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,2930
design__max_fanout_violation__count__corner:max_tt_025C_5v00,160
design__max_cap_violation__count__corner:max_tt_025C_5v00,1509
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.4303082179043674
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.4345981197928457
timing__hold__ws__corner:max_tt_025C_5v00,0.44507176981434515
timing__setup__ws__corner:max_tt_025C_5v00,109.42541760207585
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.445072
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,233.852585
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,430
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,20748
design__max_fanout_violation__count__corner:max_ss_125C_4v50,160
design__max_cap_violation__count__corner:max_ss_125C_4v50,1543
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.5155893635746251
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.521476210306889
timing__hold__ws__corner:max_ss_125C_4v50,1.0117960089479539
timing__setup__ws__corner:max_ss_125C_4v50,32.26607339307147
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.011796
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,220.196716
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,430
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,619
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,160
design__max_cap_violation__count__corner:max_ff_n40C_5v50,1482
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.39638468629370793
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.3998801125632952
timing__hold__ws__corner:max_ff_n40C_5v50,0.1897331234715698
timing__setup__ws__corner:max_ff_n40C_5v50,143.5126405001155
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
